,Date,UTX,Mkt.RF,SMB,HML,fit,lwr,upr,correct,fitted,,,
74,4/18/2005,0.660299954,0.29,0.32,0.2,0.270184162,-1.561160086,2.101528409,TRUE,0.270184162,FALSE,,
75,4/19/2005,0.052610875,0.8,0.74,0.21,0.681594657,-1.157353868,2.520543182,TRUE,0.681594657,TRUE,,
76,4/20/2005,0.758994749,-1.27,-0.17,0,-1.1496167,-2.993912216,0.694678815,FALSE,-1.1496167,TRUE,,
77,4/21/2005,3.329072419,1.78,0.23,-0.43,1.458258969,-0.400156632,3.31667457,TRUE,1.458258969,FALSE,,
78,4/22/2005,-0.834373825,-0.72,-0.81,0.5,-0.407326244,-2.249363792,1.434711303,TRUE,-0.407326244,FALSE,,
79,4/25/2005,0.694157421,0.88,0.05,0.06,0.806026706,-1.029873115,2.641926528,TRUE,0.806026706,FALSE,,
80,4/26/2005,-0.976969662,-0.87,-0.46,-0.16,-0.790919561,-2.62835916,1.046520038,TRUE,-0.790919561,FALSE,,
81,4/27/2005,0.272999987,0.18,-0.49,-0.41,0.099709789,-1.742162233,1.941581811,TRUE,0.099709789,FALSE,,
82,4/28/2005,-1.720139397,-1.17,-0.9,0.33,-0.857646609,-2.701408019,0.986114801,TRUE,-0.857646609,FALSE,,
83,4/29/2005,1.841339622,1,-0.37,-0.13,0.91750863,-0.930765615,2.765782876,TRUE,0.91750863,FALSE,,
84,5/2/2005,-0.253179735,0.52,0.43,0.12,0.441487922,-1.390612018,2.273587861,FALSE,0.441487922,FALSE,,
85,5/3/2005,-0.517432765,-0.11,0.05,-0.52,-0.273903574,-2.111870627,1.564063479,TRUE,-0.273903574,FALSE,,
86,5/4/2005,1.220219509,1.29,0.29,0.26,1.207817647,-0.636337233,3.051972526,TRUE,1.207817647,FALSE,,
87,5/5/2005,0.169378844,-0.14,0.24,-0.2,-0.232054852,-2.064359013,1.600249309,FALSE,-0.232054852,TRUE,,
88,5/6/2005,-0.372083642,-0.02,0.31,0.15,-0.027192238,-1.858715249,1.804330773,TRUE,-0.027192238,TRUE,,
89,5/9/2005,0.968909851,0.63,0.29,-0.02,0.519788106,-1.311442998,2.351019211,TRUE,0.519788106,FALSE,,
90,5/10/2005,-1.07132803,-0.99,-0.15,-0.02,-0.902047911,-2.740416735,0.936320913,TRUE,-0.902047911,FALSE,,
91,5/11/2005,1.960586316,0.31,-0.38,-0.24,0.254285514,-1.582608506,2.091179533,TRUE,0.254285514,FALSE,,
92,5/12/2005,-1.962475708,-1.07,-0.14,-0.91,-1.243046047,-3.112281829,0.626189734,TRUE,-1.243046047,FALSE,,
93,5/13/2005,-0.859147249,-0.52,-0.08,-0.69,-0.682033834,-2.530093268,1.1660256,TRUE,-0.682033834,TRUE,,
