"","Date","Bar","Open","High","Low","Close","Dir","Return"
"1000654",20100411,1758,1.363125,1.363125,1.363025,1.3631,"Short",-0.0000183402109123828
"1000655",20100411,1759,1.3631,1.3632,1.363,1.3632,"Long",-0.000073356807511729
"1000656",20100411,1800,1.3632,1.3632,1.362425,1.362425,"Short",-0.000568515258215941
"1000657",20100411,1801,1.362425,1.36255,1.36235,1.36255,"Long",-0.000091739752669576
"1000658",20100411,1802,1.36255,1.362575,1.362275,1.3624,"Long",0.000110099823840188
"1000659",20100411,1803,1.3624,1.362475,1.36225,1.36225,"Long",0.000110111947146335
"1000660",20100411,1804,1.36225,1.362375,1.362175,1.3622,"Long",0.0000367053296137744
"1000661",20100411,1805,1.3622,1.3622,1.36195,1.362,"Long",0.000146842878120395
"1000662",20100411,1806,1.362,1.362125,1.36195,1.362025,"Long",-0.0000183550228519607
"1000663",20100411,1807,1.362025,1.362075,1.361825,1.361825,"Long",0.00014686174802194
"1000664",20100411,1808,1.361825,1.36185,1.36145,1.361575,"Long",0.000183610891798163
"1000665",20100411,1809,1.361575,1.361825,1.361575,1.3617,"Long",-0.0000917970184327904
"1000666",20100411,1810,1.3617,1.3617,1.36135,1.361425,"Long",0.000201994233982631
"1000667",20100411,1811,1.361425,1.36155,1.3614,1.36155,"Long",-0.0000918071315779301
"1000668",20100411,1812,1.36155,1.361825,1.36155,1.36165,"Short",0.0000734457052623767
"1000669",20100411,1813,1.36165,1.36165,1.361525,1.36155,"Long",0.0000734457052623767
"1000670",20100411,1814,1.36155,1.36155,1.36125,1.36125,"Short",-0.00022033711578713
"1000671",20100411,1815,1.36125,1.36135,1.360925,1.360975,"Long",0.000202061022428792
"1000672",20100411,1816,1.360975,1.3615,1.360975,1.3613,"Long",-0.000238742378608616
"1000673",20100411,1817,1.3613,1.361875,1.3613,1.3618,"Long",-0.000367161110295157
"1000674",20100411,1818,1.3618,1.3619,1.361725,1.361875,"Short",0.0000550741665443143
"1000675",20100411,1819,1.361875,1.3623,1.361875,1.3623,"Short",0.000312069756769248
"1000676",20100411,1820,1.3623,1.3624,1.36225,1.36235,"Short",0.0000367026352491254
"1000677",20100411,1821,1.36235,1.362675,1.36235,1.362675,"Short",0.000238558373399002
"1000678",20100411,1822,1.362675,1.363025,1.362675,1.36285,"Short",0.000128423872163072
"1000679",20100411,1823,1.36285,1.362925,1.362425,1.362525,"Short",-0.000238470851524312
"1000680",20100411,1824,1.362525,1.36265,1.362425,1.362525,"Short",0
"1000681",20100411,1825,1.362525,1.362525,1.362225,1.362375,"Short",-0.000110089723124416
"1000682",20100411,1826,1.362375,1.362375,1.3622,1.3622,"Long",0.000128468653648373
"1000683",20100411,1827,1.3622,1.362225,1.361925,1.3621,"Long",0.0000734160487482483
"1000684",20100411,1828,1.3621,1.3621,1.3619,1.36195,"Long",0.000110136201769591
"1000685",20100411,1829,1.36195,1.36205,1.361925,1.361925,"Long",0.0000183563705783665
"1000686",20100411,1830,1.361925,1.36205,1.3618,1.361975,"Long",-0.0000367113933808502
"1000687",20100411,1831,1.361975,1.361975,1.36175,1.361825,"Long",0.000110146311016373
"1000688",20100411,1832,1.361825,1.361925,1.36175,1.3618,"Long",0.0000183580555148801
"1000689",20100411,1833,1.3618,1.36185,1.361725,1.36185,"Long",-0.0000367147630062823
"1000690",20100411,1834,1.36185,1.36185,1.361825,1.36185,"Long",0
"1000691",20100411,1835,1.36185,1.36185,1.36165,1.36175,"Short",-0.0000734295260124015
"1000692",20100411,1836,1.36175,1.361825,1.36165,1.36165,"Long",0.0000734403113869122
"1000693",20100411,1837,1.36165,1.361925,1.36165,1.361925,"Long",-0.00020192007636252
"1000694",20100411,1838,1.361925,1.36195,1.3618,1.36185,"Short",-0.0000550691117352624
"1000695",20100411,1839,1.36185,1.3619,1.3617,1.361775,"Long",0.0000550751776174825
"1000696",20100411,1840,1.361775,1.361925,1.361575,1.361875,"Short",0.000073433570156589
"1000697",20100411,1841,1.361875,1.362075,1.3618,1.362,"Long",-0.0000917767988253691
"1000698",20100411,1842,1.362,1.362025,1.361925,1.361975,"Short",-0.0000183553597651716
"1000699",20100411,1843,1.361975,1.36205,1.361925,1.36205,"Short",0.0000550670900714384
"1000700",20100411,1844,1.36205,1.362075,1.361775,1.361775,"Short",-0.000201901545464576
"1000701",20100411,1845,1.361775,1.361925,1.361725,1.36185,"Long",-0.0000550721445093419
"1000702",20100411,1846,1.36185,1.361875,1.361575,1.361675,"Short",-0.000128501670521743
"1000703",20100411,1847,1.361675,1.361725,1.361675,1.361675,"Long",0
"1000704",20100411,1848,1.361675,1.36195,1.36165,1.3618,"Long",-0.0000917902775737485
"1000705",20100411,1849,1.3618,1.361825,1.36135,1.36135,"Short",-0.00033044499926556
"1000706",20100411,1850,1.36135,1.361575,1.3613,1.36155,"Long",-0.000146891410524753
"1000707",20100411,1851,1.36155,1.361675,1.361525,1.361625,"Short",0.0000550842789468233
"1000708",20100411,1852,1.361625,1.3618,1.361575,1.3618,"Long",-0.000128506388603183
"1000709",20100411,1853,1.3618,1.3618,1.361475,1.36175,"Short",-0.0000367161110294342
"1000710",20100411,1854,1.36175,1.362075,1.361725,1.362075,"Short",0.000238663484486806
"1000711",20100411,1855,1.362075,1.36235,1.362,1.36235,"Short",0.000201897839693134
"1000712",20100411,1856,1.36235,1.36245,1.36205,1.36245,"Short",0.0000734025764304246
"1000713",20100411,1857,1.36245,1.362725,1.362325,1.362725,"Short",0.000201842269441099
"1000714",20100411,1858,1.362725,1.362925,1.362475,1.36255,"Short",-0.000128419160138719
"1000715",20100411,1859,1.36255,1.363225,1.36255,1.363225,"Long",-0.000495149370059954
"1000716",20100411,1900,1.363225,1.363625,1.36315,1.36355,"Short",0.000238405252251192
"1000717",20100411,1901,1.36355,1.364125,1.363425,1.36385,"Short",0.000220013934215809
"1000718",20100411,1902,1.36385,1.3642,1.363825,1.3642,"Short",0.000256626461854363
"1000719",20100411,1903,1.3642,1.36505,1.36415,1.36505,"Short",0.00062307579533794
"1000720",20100411,1904,1.36505,1.36545,1.36495,1.36545,"Short",0.000293029559356768
"1000721",20100411,1905,1.36545,1.365625,1.36525,1.36555,"Short",0.0000732359295470277
"1000722",20100411,1906,1.36555,1.365625,1.364975,1.365075,"Short",-0.000347845190582551
"1000723",20100411,1907,1.365075,1.36525,1.364925,1.36525,"Long",-0.000128181651712167
"1000724",20100411,1908,1.36525,1.365525,1.36525,1.36545,"Long",-0.000146471859094055
"1000725",20100411,1909,1.36545,1.365925,1.365375,1.365775,"Long",-0.000237960132525422
"1000726",20100411,1910,1.365775,1.36605,1.365575,1.36605,"Short",0.00020135088136774
"1000727",20100411,1911,1.36605,1.36625,1.365825,1.366075,"Short",0.0000183009406683077
"1000728",20100411,1912,1.366075,1.366575,1.36605,1.36645,"Short",0.000274509086250765
"1000729",20100411,1913,1.36645,1.367075,1.36645,1.366975,"Short",0.000384207252369358
"1000730",20100411,1914,1.366975,1.36705,1.36685,1.36705,"Short",0.0000548656705499715
"1000731",20100411,1915,1.36705,1.36715,1.36675,1.36715,"Short",0.0000731502139643678
"1000732",20100411,1916,1.36715,1.36715,1.36655,1.36655,"Short",-0.00043886918041192
"1000733",20100411,1917,1.36655,1.36685,1.36655,1.36685,"Long",-0.00021948275231369
"1000734",20100411,1918,1.36685,1.36735,1.36685,1.3673,"Short",0.000329224128470616
"1000735",20100411,1919,1.3673,1.367325,1.36655,1.366575,"Short",-0.000530242082937076
"1000736",20100411,1920,1.366575,1.3667,1.366325,1.366475,"Long",0.0000731809948956175
"1000737",20100411,1921,1.366475,1.366525,1.36635,1.36635,"Short",-0.0000914762436196438
"1000738",20100411,1922,1.36635,1.36655,1.36635,1.36655,"Long",-0.000146353957045097
"1000739",20100411,1923,1.36655,1.36655,1.366025,1.36605,"Short",-0.000365884892612744
"1000740",20100411,1924,1.36605,1.36615,1.3658,1.36585,"Long",0.000146428963648994
"1000741",20100411,1925,1.36585,1.366375,1.36585,1.366275,"Long",-0.000311064756363029
"1000742",20100411,1926,1.366275,1.36655,1.366275,1.3665,"Long",-0.000164654226125241
"1000743",20100411,1927,1.3665,1.366525,1.366325,1.36645,"Short",-0.0000365898280278855
"1000744",20100411,1928,1.36645,1.3665,1.36635,1.366425,"Short",-0.0000182955834461135
"1000745",20100411,1929,1.366425,1.366675,1.366425,1.366675,"Short",0.0001829591818066
"1000746",20100411,1930,1.366675,1.36675,1.36655,1.36665,"Short",-0.0000182925713868797
"1000747",20100411,1931,1.36665,1.3673,1.36665,1.36725,"Long",-0.000438837081733521
"1000748",20100411,1932,1.36725,1.367675,1.367075,1.3673,"Short",0.000036569756811032
"1000749",20100411,1933,1.3673,1.36745,1.36695,1.36705,"Short",-0.000182842097564442
"1000750",20100411,1934,1.36705,1.367225,1.36705,1.3671,"Short",0.0000365751069821027
"1000751",20100411,1935,1.3671,1.367175,1.36685,1.36685,"Short",-0.000182868846463378
"1000752",20100411,1936,1.36685,1.366875,1.366725,1.366875,"Long",-0.0000182898948332245
"1000753",20100411,1937,1.366875,1.36715,1.366875,1.367125,"Long",-0.000182865502422867
"1000754",20100411,1938,1.367125,1.367125,1.366925,1.36695,"Short",-0.000128005851695942
"1000755",20100411,1939,1.36695,1.36695,1.366625,1.366825,"Short",-0.0000914444566371504
"1000756",20100411,1940,1.366825,1.367125,1.3668,1.36705,"Long",-0.000164587981419949
